,carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
6293,1.71,3,63.4,59.0,11389,0,0,0,0,1,0,0,0,0,0,1,0,0
8626,1.51,1,61.745146555006194,65.0,8794,0,0,1,0,0,0,0,0,0,0,1,0,0
12629,0.7,2,63.7,57.0,2394,0,0,0,1,0,0,0,1,0,0,0,0,0
25665,2.04,4,63.0,58.0,18115,0,0,0,1,0,0,0,1,0,0,0,0,0
9744,0.43,3,63.4,56.0,921,1,0,0,0,0,0,0,1,0,0,0,0,0
25108,0.94,3,62.0,58.0,3886,1,0,0,0,0,0,0,0,1,0,0,0,0
11459,1.02,4,59.9,62.0,4238,0,1,0,0,0,0,0,0,1,0,0,0,0
10728,0.34,5,62.0,54.0,775,0,0,0,1,0,0,0,0,0,0,0,1,0
7386,0.32,5,61.1,56.0,720,0,0,0,1,0,0,0,0,0,1,0,0,0
20527,0.34,4,59.7,59.0,507,0,0,1,0,0,0,0,1,0,0,0,0,0
8018,0.28,2,64.6,55.0,492,1,0,0,0,0,0,0,0,0,0,0,1,0
890,0.41,4,61.4,60.0,719,0,0,1,0,0,0,0,1,0,0,0,0,0
7893,0.28,3,62.2,59.0,428,1,0,0,0,0,0,0,0,0,1,0,0,0
16596,1.58,5,62.4,54.0,10920,0,0,0,0,1,0,0,0,0,1,0,0,0
15955,0.39,5,61.9,55.2,939,0,1,0,0,0,0,0,0,0,1,0,0,0
24265,0.9,2,60.3,64.0,3473,0,0,0,0,0,0,0,0,1,0,0,0,0
23888,1.26,4,62.0,60.0,5173,0,0,0,0,0,1,0,0,0,0,1,0,0
4659,1.21,5,62.0,56.0,6017,0,0,1,0,0,0,0,0,1,0,0,0,0
25913,1.52,2,57.9,62.0,8861,0,0,0,0,0,1,0,0,0,0,0,0,1
22880,1.27,3,61.8,60.0,5455,0,0,0,0,0,1,0,0,0,0,1,0,0
24449,0.55,4,59.9,61.0,1270,0,0,0,1,0,0,0,0,0,0,1,0,0
16142,0.4,5,62.0,54.0,1125,1,0,0,0,0,0,0,0,0,1,0,0,0
21139,1.57,4,59.9,57.0,6629,0,0,0,0,0,1,0,0,0,0,1,0,0
4875,0.32,5,61.1,57.0,842,0,0,1,0,0,0,0,0,0,0,0,1,0
8098,2.04,3,62.5,61.0,17952,0,0,0,1,0,0,0,1,0,0,0,0,0
14092,0.32,3,61.6,56.0,886,0,1,0,0,0,0,0,0,0,0,0,1,0
2022,1.51,3,58.9,60.0,14481,0,1,0,0,0,0,0,0,0,1,0,0,0
23221,0.33,4,60.4,59.0,743,1,0,0,0,0,0,0,1,0,0,0,0,0
24123,0.84,1,55.6,64.0,2724,0,0,1,0,0,0,0,0,0,1,0,0,0
12187,1.03,4,58.9,59.0,6229,0,0,1,0,0,0,0,0,0,0,1,0,0
11151,0.75,2,62.6,58.0,3084,1,0,0,0,0,0,0,0,0,0,1,0,0
12726,0.37,3,58.9,61.0,811,1,0,0,0,0,0,0,0,0,0,1,0,0
18670,0.51,5,61.7,55.0,1656,0,0,1,0,0,0,0,0,0,1,0,0,0
4858,0.5,3,62.3,60.0,1250,0,1,0,0,0,0,0,1,0,0,0,0,0
20977,0.71,5,62.1,57.0,3066,0,1,0,0,0,0,0,0,0,1,0,0,0
5496,1.0,4,60.4,59.0,7744,1,0,0,0,0,0,0,0,0,1,0,0,0
23319,1.84,4,61.0,58.0,7922,0,0,0,1,0,0,0,0,1,0,0,0,0
26855,0.52,5,61.9,55.5,1803,0,0,1,0,0,0,0,0,0,1,0,0,0
22646,0.59,2,60.4,61.2,1910,0,0,1,0,0,0,0,0,0,1,0,0,0
4888,0.5,3,63.4,57.0,1806,0,0,1,0,0,0,0,0,0,0,0,0,1
20237,1.01,3,64.4,59.0,6632,0,0,1,0,0,0,0,0,0,1,0,0,0
12224,0.61,5,61.7,55.0,1659,0,0,1,0,0,0,0,1,0,0,0,0,0
18309,0.3,2,63.2,56.0,526,0,0,0,1,0,0,0,0,0,1,0,0,0
26523,0.34,5,62.9,55.0,1033,0,0,0,0,0,0,0,0,0,0,1,0,0
10349,0.31,4,62.6,58.0,593,0,0,1,0,0,0,0,1,0,0,0,0,0
10481,0.67,5,61.6,55.0,3271,0,0,1,0,0,0,1,0,0,0,0,0,0
18060,2.21,4,60.7,62.0,15970,0,0,1,0,0,0,0,0,1,0,0,0,0
17793,0.44,4,61.1,59.0,990,0,0,1,0,0,0,0,1,0,0,0,0,0
22919,1.13,5,61.3,57.0,4556,0,0,0,1,0,0,0,1,0,0,0,0,0
1822,0.33,5,62.3,53.8,771,1,0,0,0,0,0,0,0,0,1,0,0,0
14101,1.02,5,62.1,57.0,8401,0,0,1,0,0,0,0,0,0,0,0,0,1
19405,0.31,5,61.4,56.0,891,0,0,1,0,0,0,1,0,0,0,0,0,0
25673,0.26,3,63.3,57.0,420,0,0,0,0,0,0,0,0,0,1,0,0,0
2153,0.43,5,61.1,56.0,943,0,0,1,0,0,0,0,0,0,1,0,0,0
9222,1.28,4,62.0,62.0,6595,0,0,0,1,0,0,0,1,0,0,0,0,0
3235,0.34,3,60.7,61.0,507,0,0,0,0,0,0,0,0,1,0,0,0,0
8239,0.9,3,63.0,58.0,3534,0,0,0,0,0,0,0,0,1,0,0,0,0
12006,1.01,5,60.8,56.0,6346,1,0,0,0,0,0,0,1,0,0,0,0,0
19026,0.31,4,62.7,58.0,882,0,0,0,0,0,0,0,0,0,0,0,1,0
21987,0.34,5,62.4,54.0,1060,1,0,0,0,0,0,0,0,0,1,0,0,0
20925,1.09,4,62.8,56.0,4538,0,0,0,0,0,0,0,0,1,0,0,0,0
24152,0.41,5,62.8,57.0,876,1,0,0,0,0,0,0,0,1,0,0,0,0
2352,0.7,5,61.9,57.0,3093,0,0,0,0,0,0,0,0,0,1,0,0,0
7138,0.36,5,62.0,54.8,764,0,0,0,1,0,0,0,0,0,0,0,1,0
1158,0.32,5,61.3,57.0,477,0,0,1,0,0,0,0,1,0,0,0,0,0
2501,0.3,5,62.8,56.0,574,0,0,1,0,0,0,0,1,0,0,0,0,0
25794,0.32,5,61.2,57.0,786,0,1,0,0,0,0,0,0,0,0,0,0,1
24202,0.71,4,62.7,57.0,2231,0,0,0,1,0,0,0,0,1,0,0,0,0
12064,0.71,5,61.3,55.0,2792,1,0,0,0,0,0,0,1,0,0,0,0,0
5051,1.16,4,62.6,58.0,4969,0,0,1,0,0,0,0,0,1,0,0,0,0
24516,0.9,3,63.5,58.0,4161,0,0,0,0,1,0,0,0,0,0,0,1,0
18901,0.71,5,61.1,57.0,2612,0,0,0,0,0,0,0,0,1,0,0,0,0
19320,0.92,4,60.7,58.0,3529,0,0,0,0,1,0,0,1,0,0,0,0,0
5128,0.38,5,61.4,57.0,653,1,0,0,0,0,0,0,1,0,0,0,0,0
15247,0.35,5,61.9,56.0,905,1,0,0,0,0,0,0,0,0,0,0,1,0
26796,0.31,4,59.0,59.0,625,0,1,0,0,0,0,0,0,0,0,1,0,0
15909,0.52,3,62.2,55.0,1659,0,0,0,1,0,0,0,0,0,1,0,0,0
23296,0.31,5,61.3,55.0,717,0,0,0,1,0,0,0,0,0,1,0,0,0
21641,1.2,5,62.5,56.0,5884,0,0,0,0,1,0,0,0,0,0,1,0,0
22088,0.66,5,61.6,55.0,1936,0,0,0,1,0,0,0,1,0,0,0,0,0
3001,1.04,5,61.1,56.0,4290,0,0,0,1,0,0,0,0,1,0,0,0,0
15116,0.25,5,61.1,58.0,595,0,1,0,0,0,0,0,0,0,1,0,0,0
19542,1.29,4,60.9,58.0,10341,0,1,0,0,0,0,0,0,0,1,0,0,0
5471,1.15,4,61.7,58.0,6041,0,0,0,0,0,0,0,1,0,0,0,0,0
1713,0.59,5,61.8,56.0,1816,0,0,0,0,0,0,0,1,0,0,0,0,0
16743,1.01,4,61.2,61.0,6670,1,0,0,0,0,0,0,0,0,1,0,0,0
1084,0.43,5,61.8,57.0,1308,1,0,0,0,0,0,0,0,0,0,0,0,1
6198,2.02,5,61.8,57.0,14766,0,0,0,0,0,1,0,0,0,0,1,0,0
3958,0.9,3,63.1,61.0,4092,1,0,0,0,0,0,0,1,0,0,0,0,0
20870,1.41,5,62.3,55.0,6889,0,0,0,0,0,1,0,1,0,0,0,0,0
7858,0.71,3,62.6,59.0,3464,1,0,0,0,0,0,0,0,0,1,0,0,0
6856,0.56,5,62.1,57.0,1745,0,0,0,1,0,0,0,0,0,0,0,0,1
8261,0.42,4,61.6,60.0,1029,0,0,1,0,0,0,0,0,0,0,0,0,1
4314,0.48,3,60.6,56.0,2275,1,0,0,0,0,0,0,0,0,0,0,1,0
3486,0.32,5,62.3,56.0,471,0,0,0,0,1,0,0,0,0,1,0,0,0
17258,1.62,3,59.6,59.0,11427,0,0,0,1,0,0,0,0,0,0,1,0,0
14597,0.54,5,61.3,56.0,2378,0,0,0,0,0,0,0,0,0,1,0,0,0
14373,0.38,5,62.6,56.0,1327,1,0,0,0,0,0,0,0,0,0,0,1,0
960,0.81,5,62.0,56.0,2307,0,0,0,0,0,1,0,1,0,0,0,0,0
4190,0.57,4,61.745146555006194,58.0,1613,0,0,0,1,0,0,0,0,0,1,0,0,0
1395,1.02,5,60.7,56.0,7091,0,1,0,0,0,0,0,0,0,1,0,0,0
24484,0.5,2,63.3,56.0,1077,1,0,0,0,0,0,0,0,1,0,0,0,0
16084,0.92,3,61.9,58.0,7544,0,0,0,0,0,0,0,0,0,1,0,0,0
17604,0.48,3,62.6,55.0,1311,0,1,0,0,0,0,0,0,0,0,1,0,0
24510,1.01,2,63.5,60.0,4588,0,0,1,0,0,0,0,1,0,0,0,0,0
20492,0.27,3,60.9,59.0,620,1,0,0,0,0,0,0,0,0,0,0,1,0
24049,0.36,5,61.0,57.0,587,0,0,0,1,0,0,0,0,0,0,1,0,0
5974,0.92,3,60.9,62.0,3146,0,0,0,0,0,1,0,0,0,0,1,0,0
24026,0.9,2,64.3,62.0,3400,1,0,0,0,0,0,0,1,0,0,0,0,0
18144,0.34,3,62.9,55.0,805,0,0,0,0,0,0,0,0,0,0,1,0,0
5486,1.04,3,60.2,60.0,4332,0,0,0,1,0,0,0,0,1,0,0,0,0
5430,2.2,4,58.9,60.0,17905,0,0,0,0,1,0,0,0,0,0,1,0,0
26905,0.7,3,62.2,59.0,1666,0,0,0,0,1,0,0,0,0,0,1,0,0
23840,1.01,4,59.8,58.0,4719,0,0,1,0,0,0,0,1,0,0,0,0,0
179,1.63,5,61.3,56.0,9694,0,0,0,0,1,0,0,1,0,0,0,0,0
2218,0.34,3,60.4,57.0,713,0,0,1,0,0,0,0,0,0,0,0,0,1
8402,0.31,5,61.2,55.0,734,0,0,0,0,0,0,0,0,0,0,1,0,0
24503,0.51,3,60.0,58.0,2365,1,0,0,0,0,0,0,0,0,0,0,0,1
20750,1.51,3,63.2,59.0,7915,0,0,0,0,0,0,0,0,1,0,0,0,0
24226,0.54,4,61.8,61.0,1097,0,1,0,0,0,0,0,0,1,0,0,0,0
19403,0.9,2,58.5,66.0,3353,0,0,0,0,1,0,0,0,0,0,1,0,0
1620,0.3,5,62.3,56.0,603,1,0,0,0,0,0,0,0,0,0,1,0,0
3870,0.97,2,64.5,61.0,4355,0,0,0,0,1,0,0,0,0,0,1,0,0
15197,0.52,5,61.3,54.0,1646,1,0,0,0,0,0,0,0,0,0,1,0,0
4529,0.3,3,62.9,55.0,684,0,0,1,0,0,0,0,0,0,0,0,0,1
4488,2.03,5,61.8,57.0,15272,0,0,0,0,1,0,0,1,0,0,0,0,0
22373,0.71,3,61.6,59.0,3464,1,0,0,0,0,0,0,0,0,1,0,0,0
18341,0.33,5,60.7,56.0,803,0,0,0,0,0,0,0,0,0,0,1,0,0
23788,0.5,4,62.4,58.0,1155,1,0,0,0,0,0,0,1,0,0,0,0,0
15756,0.3,3,58.7,63.0,393,0,0,0,1,0,0,0,1,0,0,0,0,0
7932,1.05,3,58.9,61.0,9013,0,0,1,0,0,0,1,0,0,0,0,0,0
13936,1.07,5,61.9,55.0,5444,0,0,1,0,0,0,0,1,0,0,0,0,0
10676,1.52,5,62.1,56.0,13280,1,0,0,0,0,0,0,1,0,0,0,0,0
15581,0.44,3,61.9,57.0,813,0,0,0,0,1,0,0,0,0,1,0,0,0
4461,0.7,5,60.7,57.0,3303,0,0,1,0,0,0,0,0,0,0,0,1,0
16245,1.27,2,63.4,60.0,5588,0,0,0,0,0,1,0,0,0,1,0,0,0
11046,0.27,3,60.9,58.0,620,1,0,0,0,0,0,0,0,0,0,0,0,1
4961,0.72,1,66.4,57.0,2396,0,0,1,0,0,0,0,0,0,1,0,0,0
17728,1.27,3,61.5,58.0,10321,0,0,1,0,0,0,0,0,0,0,0,0,1
16077,0.73,3,59.8,61.0,2330,0,0,1,0,0,0,0,1,0,0,0,0,0
12581,0.4,2,63.2,58.0,655,0,0,1,0,0,0,0,1,0,0,0,0,0
26332,1.01,3,58.5,56.0,4619,0,0,0,1,0,0,0,1,0,0,0,0,0
23399,0.61,2,60.6,60.3,2120,0,1,0,0,0,0,0,0,0,1,0,0,0
6351,0.32,4,62.0,57.0,972,0,0,0,0,0,0,0,0,0,0,1,0,0
11280,0.57,5,62.1,55.0,1760,0,1,0,0,0,0,0,0,0,0,1,0,0
2692,1.2,4,61.4,57.0,5098,0,0,0,0,1,0,0,1,0,0,0,0,0
17530,0.43,3,61.0,57.0,1056,0,1,0,0,0,0,0,0,0,1,0,0,0
19566,0.5,5,61.8,53.6,2297,1,0,0,0,0,0,0,0,0,0,0,0,1
25775,0.54,5,61.2,57.0,1814,0,0,0,1,0,0,0,0,0,0,0,1,0
21568,1.31,4,59.7,59.0,3697,0,0,0,0,0,1,0,0,1,0,0,0,0
7638,0.59,4,62.3,55.0,1886,0,0,0,1,0,0,0,0,0,0,0,0,1
14229,0.38,5,61.2,54.0,949,0,0,1,0,0,0,0,0,0,0,0,1,0
20240,0.44,2,63.8,54.0,970,0,1,0,0,0,0,0,1,0,0,0,0,0
3780,1.09,3,62.5,59.0,6546,0,0,1,0,0,0,0,0,0,1,0,0,0
6318,0.9,2,63.7,62.0,3014,0,0,1,0,0,0,0,0,1,0,0,0,0
1389,0.7,5,61.4,54.0,2822,0,0,0,0,0,0,0,1,0,0,0,0,0
16588,1.22,3,60.8,59.0,9475,1,0,0,0,0,0,0,0,0,0,1,0,0
7213,1.54,5,62.0,56.0,14529,1,0,0,0,0,0,0,0,0,0,1,0,0
26470,0.38,5,61.8,55.0,884,0,0,0,0,0,0,0,1,0,0,0,0,0
18732,0.31,4,61.7,61.0,698,0,0,0,1,0,0,0,0,0,1,0,0,0
1837,0.74,5,60.7,55.0,2609,0,0,0,0,1,0,0,0,0,1,0,0,0
320,0.3,2,63.4,60.0,432,0,0,0,1,0,0,0,1,0,0,0,0,0
26915,2.0,4,60.8,62.0,13162,0,0,0,0,0,1,0,0,0,0,1,0,0
8734,0.72,5,60.9,56.0,3780,0,1,0,0,0,0,0,0,0,0,0,0,1
13124,0.45,1,65.8,56.0,1227,0,0,0,1,0,0,0,0,0,0,0,0,1
795,0.32,5,61.7,55.0,879,1,0,0,0,0,0,0,0,0,0,0,1,0
23795,0.57,5,61.7,56.0,1364,0,0,1,0,0,0,0,1,0,0,0,0,0
25253,0.46,5,61.8,56.0,1291,0,0,0,0,0,0,0,0,0,0,1,0,0
16717,0.31,2,61.9,61.0,412,0,0,0,0,0,1,0,0,0,1,0,0,0
5840,2.0,3,60.9,54.0,10907,0,0,0,0,0,1,0,0,1,0,0,0,0
10424,0.74,4,60.7,59.0,2415,0,1,0,0,0,0,0,1,0,0,0,0,0
566,1.51,2,64.0,58.0,6936,0,0,0,0,0,1,0,0,0,0,1,0,0
1349,0.4,4,60.5,59.0,640,1,0,0,0,0,0,0,0,1,0,0,0,0
12181,0.58,5,62.1,56.0,2528,0,0,1,0,0,0,1,0,0,0,0,0,0
11209,1.0,3,61.5,58.0,5860,0,0,1,0,0,0,0,0,0,0,1,0,0
17752,1.2,5,59.1,62.0,4509,0,0,0,0,0,1,0,0,1,0,0,0,0
25309,0.74,5,62.1,56.0,2870,0,0,0,1,0,0,0,1,0,0,0,0,0
6956,0.3,5,62.2,54.0,764,0,0,0,1,0,0,1,0,0,0,0,0,0
26862,1.01,2,60.2,60.0,4566,1,0,0,0,0,0,0,0,1,0,0,0,0
11527,0.34,4,61.4,58.0,880,0,0,0,1,0,0,0,0,0,0,0,0,1
21097,1.16,4,59.9,60.0,7203,0,0,1,0,0,0,0,0,0,0,1,0,0
4563,0.4,5,62.4,56.0,1050,0,0,1,0,0,0,0,0,0,0,0,0,1
7047,0.3,5,61.7,58.0,886,0,1,0,0,0,0,1,0,0,0,0,0,0
2621,0.33,4,60.9,58.0,781,1,0,0,0,0,0,0,0,0,1,0,0,0
25737,0.34,3,63.3,57.0,714,1,0,0,0,0,0,0,1,0,0,0,0,0
26301,0.52,2,63.6,56.0,1605,0,1,0,0,0,0,0,0,0,0,1,0,0
74,0.57,3,59.4,58.0,1214,0,0,1,0,0,0,0,0,1,0,0,0,0
6154,0.71,5,62.1,54.0,2918,0,0,0,1,0,0,0,0,0,0,0,1,0
2205,0.33,5,61.8,54.0,761,0,1,0,0,0,0,0,0,0,0,0,0,1
9107,0.3,3,62.6,57.0,447,0,0,1,0,0,0,0,1,0,0,0,0,0
25126,1.1,5,60.8,58.0,5291,0,0,0,0,1,0,0,0,0,1,0,0,0
8122,0.71,3,62.7,59.0,2830,1,0,0,0,0,0,0,0,0,0,1,0,0
9997,1.0,1,66.8,63.0,4166,0,0,0,1,0,0,0,0,0,0,1,0,0
11565,0.5,5,61.4,57.0,1624,1,0,0,0,0,0,0,0,0,0,1,0,0
6504,0.71,4,62.4,56.0,2028,0,0,0,1,0,0,0,0,1,0,0,0,0
2500,0.36,5,61.8,54.0,835,1,0,0,0,0,0,0,0,0,1,0,0,0
7989,1.07,3,61.7,58.0,5304,1,0,0,0,0,0,0,0,1,0,0,0,0
22830,0.54,3,62.0,55.0,1662,0,0,0,0,0,0,0,1,0,0,0,0,0
13381,1.1,4,58.4,60.0,7399,0,0,1,0,0,0,0,0,0,1,0,0,0
24292,0.32,2,63.1,56.0,561,1,0,0,0,0,0,0,1,0,0,0,0,0
16915,2.0,3,62.2,59.0,12196,0,0,0,0,0,1,0,1,0,0,0,0,0
18299,0.4,2,63.8,56.0,687,1,0,0,0,0,0,0,1,0,0,0,0,0
16045,0.57,5,61.6,56.0,1567,0,1,0,0,0,0,0,0,0,0,1,0,0
9145,0.36,3,61.8,58.0,968,1,0,0,0,0,0,0,0,0,0,0,0,1
3177,1.56,5,62.1,55.0,5766,0,0,0,0,0,1,0,0,1,0,0,0,0
15002,0.56,3,63.2,56.0,1441,0,1,0,0,0,0,0,1,0,0,0,0,0
19660,1.16,5,62.3,55.0,10082,0,0,1,0,0,0,1,0,0,0,0,0,0
20300,0.34,4,62.6,60.0,689,0,0,0,1,0,0,0,0,0,0,1,0,0
9477,0.9,3,62.1,59.0,4664,0,0,0,1,0,0,0,0,0,0,0,1,0
9769,0.52,5,60.8,57.0,1878,0,0,1,0,0,0,0,0,0,0,0,0,1
23668,0.36,5,61.7,55.0,789,1,0,0,0,0,0,0,0,0,0,1,0,0
22572,0.33,5,61.9,55.0,713,0,0,1,0,0,0,0,0,0,0,0,0,1
301,0.33,5,61.1,56.0,850,1,0,0,0,0,0,0,0,0,1,0,0,0
19524,0.9,3,63.1,60.0,3919,0,0,0,1,0,0,0,0,0,0,1,0,0
4865,1.2,3,63.1,56.0,4232,0,0,0,0,0,1,0,0,0,0,1,0,0
3800,1.31,4,63.0,58.0,5612,0,0,0,0,1,0,0,0,1,0,0,0,0
4575,0.32,5,61.6,54.0,814,0,0,0,1,0,0,1,0,0,0,0,0,0
263,2.11,4,62.2,60.0,16336,0,0,1,0,0,0,0,0,1,0,0,0,0
19657,2.07,4,59.6,60.0,11094,0,0,0,1,0,0,0,0,1,0,0,0,0
17162,1.01,3,59.6,62.0,9965,0,1,0,0,0,0,1,0,0,0,0,0,0
4547,0.78,5,60.8,56.0,2340,1,0,0,0,0,0,0,0,1,0,0,0,0
26882,0.5,3,63.2,60.0,1059,0,0,0,0,0,1,0,0,0,0,1,0,0
1489,0.42,4,60.1,61.0,1087,0,0,1,0,0,0,0,0,0,0,1,0,0
11254,1.69,4,62.4,60.0,6320,0,0,0,0,1,0,0,0,0,0,0,0,0
26843,1.6,5,61.0,57.0,12871,0,1,0,0,0,0,0,1,0,0,0,0,0
13001,0.3,4,62.0,60.0,684,0,0,1,0,0,0,0,0,0,0,0,0,1
15420,0.41,5,62.5,55.0,935,1,0,0,0,0,0,0,0,0,0,1,0,0
5271,1.71,5,60.5,56.0,11455,0,0,0,0,1,0,0,0,0,0,1,0,0
10982,1.21,5,61.1,56.0,9290,0,0,0,1,0,0,0,0,0,0,0,0,1
4655,1.52,2,63.6,60.0,7022,0,0,0,0,0,1,0,1,0,0,0,0,0
20957,0.31,5,60.5,55.0,877,0,0,0,0,0,0,0,0,0,1,0,0,0
21794,0.42,4,61.6,59.0,773,1,0,0,0,0,0,0,1,0,0,0,0,0
20266,1.02,5,62.6,57.0,11605,1,0,0,0,0,0,1,0,0,0,0,0,0
25998,0.25,3,63.1,56.0,740,1,0,0,0,0,0,0,0,0,0,0,0,1
11113,1.01,5,61.0,57.0,8688,0,1,0,0,0,0,0,0,0,0,0,0,1
20917,1.03,5,62.3,56.0,4268,0,1,0,0,0,0,0,0,1,0,0,0,0
11483,0.31,5,62.5,56.0,942,0,0,0,0,0,0,0,0,0,0,1,0,0
6808,1.07,3,59.2,61.0,5143,0,0,0,1,0,0,0,1,0,0,0,0,0
7351,1.0,5,62.1,57.0,6612,0,0,1,0,0,0,0,0,0,0,1,0,0
12010,0.4,5,61.4,56.0,1152,0,0,0,0,0,0,0,0,0,0,0,0,1
25971,1.0,5,61.745146555006194,56.0,3276,0,0,0,0,1,0,0,0,1,0,0,0,0
7489,0.33,3,62.3,56.0,893,1,0,0,0,0,0,0,0,0,0,0,0,1
15852,2.0,1,65.6,58.0,15762,0,0,0,1,0,0,0,1,0,0,0,0,0
10309,0.32,2,63.4,55.0,561,1,0,0,0,0,0,0,1,0,0,0,0,0
8969,0.56,5,60.4,57.0,2157,0,0,0,1,0,0,1,0,0,0,0,0,0
3139,0.37,4,61.2,60.0,957,0,1,0,0,0,0,0,0,0,0,1,0,0
20267,1.15,3,61.4,57.0,7662,0,0,0,0,0,0,0,0,0,0,1,0,0
15762,1.3,4,62.2,58.0,7426,0,0,0,0,0,0,0,1,0,0,0,0,0
11384,1.56,4,60.9,58.0,14268,0,0,1,0,0,0,0,0,0,1,0,0,0
2078,2.25,4,60.1,60.0,18034,0,0,0,0,1,0,0,1,0,0,0,0,0
15277,1.7,3,62.8,57.0,14137,0,0,0,1,0,0,0,0,0,1,0,0,0
12699,0.54,5,62.5,53.0,1227,0,0,0,1,0,0,0,1,0,0,0,0,0
21880,0.3,5,62.9,57.0,675,1,0,0,0,0,0,0,1,0,0,0,0,0
2729,0.9,5,62.0,54.0,5013,0,0,0,1,0,0,0,0,0,1,0,0,0
26265,0.4,4,61.1,58.0,855,0,0,0,0,0,0,0,0,1,0,0,0,0
8643,0.78,5,62.1,54.0,2561,0,0,1,0,0,0,0,0,1,0,0,0,0
6021,0.52,5,60.1,59.0,1389,1,0,0,0,0,0,0,1,0,0,0,0,0
8358,0.9,2,63.4,62.0,3139,1,0,0,0,0,0,0,0,1,0,0,0,0
11754,1.01,3,61.1,56.0,9063,0,0,1,0,0,0,1,0,0,0,0,0,0
23536,1.56,5,61.2,56.0,11522,0,0,1,0,0,0,0,1,0,0,0,0,0
3709,1.01,1,67.3,62.0,3597,0,1,0,0,0,0,0,0,1,0,0,0,0
8067,1.02,5,61.9,55.0,5702,1,0,0,0,0,0,0,1,0,0,0,0,0
25453,0.43,2,63.7,57.0,629,0,0,0,0,0,1,0,0,1,0,0,0,0
18999,0.93,5,62.2,55.0,4374,1,0,0,0,0,0,0,1,0,0,0,0,0
2950,1.86,4,62.3,57.0,11520,0,0,0,1,0,0,0,0,1,0,0,0,0
12407,0.51,5,61.745146555006194,58.0,1023,0,0,0,0,0,1,0,1,0,0,0,0,0
5771,1.03,4,61.8,56.0,4730,1,0,0,0,0,0,0,0,1,0,0,0,0
20955,1.02,1,64.5,56.0,4044,0,0,1,0,0,0,0,1,0,0,0,0,0
4737,0.51,2,64.2,56.0,1232,0,0,0,0,0,0,0,0,1,0,0,0,0
5424,2.11,5,61.8,56.2,15766,0,0,0,0,0,1,0,0,0,1,0,0,0
25623,0.74,3,62.7,58.0,2170,0,0,0,0,0,1,0,0,0,1,0,0,0
3570,0.4,5,63.0,57.0,882,1,0,0,0,0,0,0,1,0,0,0,0,0
636,1.22,4,62.7,59.0,6184,0,0,0,1,0,0,0,0,0,0,1,0,0
11845,1.15,4,61.6,60.0,4743,0,0,0,1,0,0,0,0,1,0,0,0,0
26200,0.33,4,60.9,59.0,965,0,0,1,0,0,0,0,0,0,0,0,0,1
21859,2.01,3,61.745146555006194,57.0,16111,0,0,0,1,0,0,0,0,1,0,0,0,0
13716,0.3,4,60.6,58.0,911,0,0,0,0,0,0,0,0,0,0,1,0,0
5970,1.01,4,62.5,58.0,5611,0,0,0,1,0,0,0,0,0,0,1,0,0
15519,1.01,4,61.1,57.0,3903,0,1,0,0,0,0,0,0,1,0,0,0,0
1825,0.32,5,62.3,55.0,890,1,0,0,0,0,0,0,0,0,0,0,0,1
6476,1.0,4,63.0,60.0,4234,0,1,0,0,0,0,0,1,0,0,0,0,0
5362,0.95,4,60.7,59.0,4142,1,0,0,0,0,0,0,0,1,0,0,0,0
8915,0.38,5,60.9,56.0,568,0,1,0,0,0,0,0,0,1,0,0,0,0
8401,0.3,4,60.6,58.0,675,1,0,0,0,0,0,0,1,0,0,0,0,0
23746,0.58,3,60.7,63.0,1914,0,1,0,0,0,0,0,0,0,0,1,0,0
9812,1.5,3,60.2,58.0,13596,0,0,1,0,0,0,0,0,0,1,0,0,0
23843,0.79,2,64.3,60.0,1943,0,1,0,0,0,0,0,0,1,0,0,0,0
5842,0.39,3,59.5,58.0,1054,1,0,0,0,0,0,0,0,0,0,0,0,1
25260,1.78,5,62.1,57.0,12843,0,0,0,1,0,0,0,1,0,0,0,0,0
26349,0.42,4,61.745146555006194,59.0,1040,0,0,0,0,0,0,0,1,0,0,0,0,0
12897,2.01,5,62.5,55.0,13777,0,0,0,0,1,0,0,0,1,0,0,0,0
10348,0.9,2,60.0,61.0,3752,0,0,1,0,0,0,0,1,0,0,0,0,0
24031,0.74,2,63.1,59.0,2753,0,0,0,0,0,0,0,1,0,0,0,0,0
18868,0.32,5,61.7,55.0,1066,0,0,0,0,0,0,0,0,0,0,1,0,0
9328,1.63,5,61.5,56.0,13363,0,1,0,0,0,0,0,1,0,0,0,0,0
947,0.51,3,61.0,59.0,1717,1,0,0,0,0,0,0,0,0,1,0,0,0
12680,0.7,2,63.7,59.0,2218,0,0,0,1,0,0,0,1,0,0,0,0,0
26744,0.8,4,61.2,53.0,2867,0,0,0,1,0,0,0,0,0,0,1,0,0
10445,0.3,5,61.8,53.0,621,0,1,0,0,0,0,0,0,0,1,0,0,0
554,0.41,5,62.7,57.0,755,1,0,0,0,0,0,0,1,0,0,0,0,0
21203,1.55,5,61.7,57.0,7416,0,0,0,0,0,1,0,0,0,0,1,0,0
11796,0.42,5,61.5,56.0,1289,0,0,1,0,0,0,1,0,0,0,0,0,0
8302,2.06,5,60.3,56.0,18371,0,0,0,0,0,0,0,0,1,0,0,0,0
21286,1.46,3,62.5,57.0,7146,0,0,0,0,1,0,0,1,0,0,0,0,0
